id,strategy,instrument_str,entry_timestamp,entry_transaction_type,entry_quantity,entry_price,exit_timestamp,exit_transaction_type,exit_quantity,exit_price,pnl_absolute,pnl_percentage,pnl_cumulative_absolute,pnl_cumulative_percentage,equity_curve,drawdown_percentage
1672936,5120,NSE_FO:NIFTY24MAY22650PE,2024-05-17 14:44:00,0,50,277.25,2024-05-17 15:15:00,1,50,274.65,-130.00,-0.94,422788.75,693.10,483788.75,-1.29
1672932,5120,NSE_FO:NIFTY24MAY22350CE,2024-05-17 13:35:00,0,25,319.70,2024-05-17 14:35:00,1,25,308.60,-277.50,-3.47,422918.75,693.31,483918.75,-1.26
1672925,5120,NSE_FO:NIFTY24MAY22600PE,2024-05-17 13:02:00,0,50,258.80,2024-05-17 13:30:00,1,50,246.05,-637.50,-4.93,423196.25,693.76,484196.25,-1.21
1672739,7974,NSE_FO:NIFTY24MAY22650PE,2024-05-17 14:44:00,0,125,277.25,2024-05-17 15:25:01,1,125,278.90,206.25,0.60,32483.75,53.25,93483.75,-11.74
1672725,7974,NSE_FO:NIFTY24MAY22350CE,2024-05-17 13:35:02,0,125,319.70,2024-05-17 14:35:08,1,125,306.80,-1612.50,-4.04,32277.50,52.91,93277.50,-11.94
1672714,7974,NSE_FO:NIFTY24MAY22600PE,2024-05-17 13:02:00,0,150,258.80,2024-05-17 13:30:27,1,150,251.40,-1110.00,-2.86,33890.00,55.56,94890.00,-10.42
1672412,5120,NSE_FO:NIFTY24MAY22000CE,2024-05-16 14:39:00,0,25,400.80,2024-05-16 15:15:00,1,25,530.00,3230.00,32.24,423833.75,694.81,484833.75,-1.08
1672401,5120,NSE_FO:NIFTY24MAY22300PE,2024-05-16 12:59:00,0,50,258.90,2024-05-16 13:58:00,1,50,284.80,1295.00,10.00,420603.75,689.51,481603.75,-1.74
1672392,5120,NSE_FO:NIFTY24MAY22000CE,2024-05-16 12:02:00,0,25,410.35,2024-05-16 12:29:00,1,25,410.35,0.00,0.00,419308.75,687.39,480308.75,-2.00
1672378,5120,NSE_FO:NIFTY24MAY22400PE,2024-05-16 10:21:00,0,50,264.10,2024-05-16 11:05:00,1,50,290.50,1320.00,10.00,419308.75,687.39,480308.75,-2.00
1672092,7974,NSE_FO:NIFTY24MAY22000CE,2024-05-16 14:39:00,0,75,400.80,2024-05-16 15:18:01,1,75,544.80,10800.00,35.93,35000.00,57.38,96000.00,-9.37
1672075,7974,NSE_FO:NIFTY24MAY22300PE,2024-05-16 12:59:00,0,150,258.90,2024-05-16 13:58:01,1,150,284.80,3885.00,10.00,24200.00,39.67,85200.00,-19.56
1672042,7974,NSE_FO:NIFTY24MAY22000CE,2024-05-16 12:02:01,0,75,410.35,2024-05-16 12:29:01,1,75,410.35,0.00,0.00,20315.00,33.30,81315.00,-23.23
1671995,7974,NSE_FO:NIFTY24MAY22400PE,2024-05-16 10:21:01,0,150,263.35,2024-05-16 11:39:05,1,150,316.05,7905.00,20.01,20315.00,33.30,81315.00,-23.23
1671789,5120,NSE_FO:NIFTY24MAY22050CE,2024-05-15 14:37:00,0,25,373.90,2024-05-15 15:15:00,1,25,381.25,183.75,1.97,417988.75,685.23,478988.75,-2.27
1671779,5120,NSE_FO:NIFTY24MAY22350PE,2024-05-15 13:14:00,0,50,295.65,2024-05-15 14:20:00,1,50,286.35,-465.00,-3.15,417805.00,684.93,478805.00,-2.31
1671766,5120,NSE_FO:NIFTY24MAY22350PE,2024-05-15 12:38:00,0,50,283.35,2024-05-15 12:45:00,1,50,276.10,-362.50,-2.56,418270.00,685.69,479270.00,-2.21
1671756,5120,NSE_FO:NIFTY24MAY22050CE,2024-05-15 12:33:00,0,25,387.10,2024-05-15 12:35:00,1,25,387.90,20.00,0.21,418632.50,686.28,479632.50,-2.14
