id,strategy,INST,EN_TIME,EN_TT,EN_Q,EN_PRICE,EX_TIME,EX_TT,EX_Q,EX_PRICE,P&L,P&L%,pnl_cumulative_absolute,pnl_cumulative_percentage,Equity Curve,Drawdown %
1670383,870,NSE_FO:BANKNIFTY2451547300CE,13-05-2024 09:30,1,15,320.8,13-05-2024 10:30,0,15,221.45,1490.25,30.97,80816.45,48.98,245816.45,-15.91
1669878,870,NSE_FO:BANKNIFTY2451547700CE,10-05-2024 12:15,1,15,372.55,10-05-2024 13:00,0,15,285.12,1311.45,23.47,79326.2,48.08,244326.2,-16.42
1669877,870,NSE_FO:BANKNIFTY2451547700PE,10-05-2024 11:45,1,15,335.8,10-05-2024 12:15,0,15,364.1,-424.5,-8.43,78014.75,47.28,243014.75,-16.87
1669876,870,NSE_FO:BANKNIFTY2451547700CE,10-05-2024 10:30,1,15,424.6,10-05-2024 11:45,0,15,396.3,424.5,6.67,78439.25,47.54,243439.25,-16.73
1669792,870,NSE_FO:BANKNIFTY2451547600PE,10-05-2024 09:30,1,15,340.1,10-05-2024 10:30,0,15,294.2,688.5,13.5,78014.75,47.28,243014.75,-16.87
1669203,870,NSE_FO:BANKNIFTY2451547900PE,09-05-2024 11:00,1,15,423.5,09-05-2024 12:30,0,15,400.82,340.2,5.36,77326.25,46.86,242326.25,-17.11
1669201,870,NSE_FO:BANKNIFTY2451548100CE,09-05-2024 09:45,1,15,418.1,09-05-2024 11:00,0,15,307.45,1659.75,26.46,76986.05,46.66,241986.05,-17.22
1668521,870,NSE_FO:BANKNIFTY2450848100PE,08-05-2024 10:15,1,15,138.5,08-05-2024 10:30,0,15,300.13,-2424.45,-116.7,75326.3,45.65,240326.3,-17.79
1668518,870,NSE_FO:BANKNIFTY2450848100CE,08-05-2024 09:30,1,15,129.8,08-05-2024 10:15,0,15,101.5,424.5,21.8,77750.75,47.12,242750.75,-16.96
1667905,870,NSE_FO:BANKNIFTY2450848900CE,07-05-2024 09:45,1,15,286.8,07-05-2024 10:15,0,15,153.47,1999.95,46.49,77326.25,46.86,242326.25,-17.11
1667355,870,NSE_FO:BANKNIFTY2450848900PE,06-05-2024 14:45,1,15,252.7,06-05-2024 15:10,0,15,236.35,245.25,6.47,75326.3,45.65,240326.3,-17.79
1667353,870,NSE_FO:BANKNIFTY2450848900CE,06-05-2024 14:30,1,15,321.7,06-05-2024 14:45,0,15,314.8,103.5,2.14,75081.05,45.5,240081.05,-17.87
1667350,870,NSE_FO:BANKNIFTY2450848900PE,06-05-2024 13:45,1,15,221.45,06-05-2024 14:30,0,15,248.6,-407.25,-12.26,74977.55,45.44,239977.55,-17.91
1667349,870,NSE_FO:BANKNIFTY2450849000CE,06-05-2024 12:45,1,15,365.85,06-05-2024 13:45,0,15,332.55,499.5,9.1,75384.8,45.69,240384.8,-17.77
1667347,870,NSE_FO:BANKNIFTY2450849100PE,06-05-2024 12:15,1,15,240.85,06-05-2024 12:45,0,15,299.15,-874.5,-24.21,74885.3,45.39,239885.3,-17.94
1667346,870,NSE_FO:BANKNIFTY2450849100CE,06-05-2024 11:15,1,15,394.2,06-05-2024 12:15,0,15,373.7,307.5,5.2,75759.8,45.92,240759.8,-17.64
1667342,870,NSE_FO:BANKNIFTY2450849200PE,06-05-2024 10:45,1,15,259,06-05-2024 11:15,0,15,287,-420,-10.81,75452.3,45.73,240452.3,-17.75
1666762,870,NSE_FO:BANKNIFTY2450849400CE,03-05-2024 10:00,1,15,418.85,03-05-2024 10:45,0,15,285.52,1999.95,31.83,75872.3,45.98,240872.3,-17.6
1666298,870,NSE_FO:BANKNIFTY2450849300CE,02-05-2024 14:15,1,15,400.1,02-05-2024 15:10,0,15,386.3,207,3.45,73872.35,44.77,238872.35,-18.29
1666296,870,NSE_FO:BANKNIFTY2450849300PE,02-05-2024 13:30,1,15,367.5,02-05-2024 14:15,0,15,384.75,-258.75,-4.69,73665.35,44.65,238665.35,-18.36
1666294,870,NSE_FO:BANKNIFTY2450849200CE,02-05-2024 13:00,1,15,449,02-05-2024 13:30,0,15,483.3,-514.5,-7.64,73924.1,44.8,238924.1,-18.27
1666289,870,NSE_FO:BANKNIFTY2450849300PE,02-05-2024 11:45,1,15,404,02-05-2024 13:00,0,15,411.4,-111,-1.83,74438.6,45.11,239438.6,-18.09
1666287,870,NSE_FO:BANKNIFTY2450849400CE,02-05-2024 11:00,1,15,422.7,02-05-2024 11:45,0,15,364.2,877.5,13.84,74549.6,45.18,239549.6,-18.06
1666282,870,NSE_FO:BANKNIFTY2450849400PE,02-05-2024 09:45,1,15,396.65,02-05-2024 11:00,0,15,380.6,240.75,4.05,73672.1,44.65,238672.1,-18.36
1665576,870,NSE_FO:BANKNIFTY2443049400CE,30-04-2024 09:30,1,15,153.75,30-04-2024 10:00,0,15,287.08,-1999.95,-86.72,73431.35,44.5,238431.35,-18.44
1665097,870,NSE_FO:BANKNIFTY2443048700CE,29-04-2024 11:00,1,15,271.1,29-04-2024 11:30,0,15,335.78,-970.2,-23.86,75431.3,45.72,240431.3,-17.75
1665094,870,NSE_FO:BANKNIFTY2443048700PE,29-04-2024 10:30,1,15,187.25,29-04-2024 11:00,0,15,175.1,182.25,6.49,76401.5,46.3,241401.5,-17.42
1665092,870,NSE_FO:BANKNIFTY2443048600CE,29-04-2024 10:15,1,15,224.75,29-04-2024 10:30,0,15,305.55,-1212,-35.95,76219.25,46.19,241219.25,-17.48
1664688,870,NSE_FO:BANKNIFTY2443048300PE,26-04-2024 14:30,1,15,263.6,26-04-2024 15:10,0,15,268.45,-72.75,-1.84,77431.25,46.93,242431.25,-17.07
1664686,870,NSE_FO:BANKNIFTY2443048400CE,26-04-2024 13:30,1,15,273.85,26-04-2024 14:30,0,15,254.1,296.25,7.21,77504,46.97,242504,-17.05
1664682,870,NSE_FO:BANKNIFTY2443048400PE,26-04-2024 11:30,1,15,278.35,26-04-2024 13:30,0,15,293.6,-228.75,-5.48,77207.75,46.79,242207.75,-17.15
1664681,870,NSE_FO:BANKNIFTY2443048500CE,26-04-2024 10:15,1,15,291.7,26-04-2024 11:30,0,15,255.15,548.25,12.53,77436.5,46.93,242436.5,-17.07
1664679,870,NSE_FO:BANKNIFTY2443048600PE,26-04-2024 09:45,1,15,288.95,26-04-2024 10:15,0,15,365.25,-1144.5,-26.41,76888.25,46.6,241888.25,-17.26
1664189,870,NSE_FO:BANKNIFTY2443048600CE,25-04-2024 15:00,1,15,324.5,25-04-2024 15:10,0,15,324.5,0,0,78032.75,47.29,243032.75,-16.86
1664184,870,NSE_FO:BANKNIFTY2443048600PE,25-04-2024 14:30,1,15,357.55,25-04-2024 15:00,0,15,335.25,334.5,6.24,78032.75,47.29,243032.75,-16.86
1664182,870,NSE_FO:BANKNIFTY2443048400CE,25-04-2024 14:00,1,15,357.15,25-04-2024 14:30,0,15,435.25,-1171.5,-21.87,77698.25,47.09,242698.25,-16.98
1664181,870,NSE_FO:BANKNIFTY2443048200PE,25-04-2024 12:45,1,15,281.5,25-04-2024 14:00,0,15,240.8,610.5,14.46,78869.75,47.8,243869.75,-16.58
1664179,870,NSE_FO:BANKNIFTY2443048100CE,25-04-2024 12:00,1,15,373.6,25-04-2024 12:45,0,15,422.15,-728.25,-13,78259.25,47.43,243259.25,-16.79
1664177,870,NSE_FO:BANKNIFTY2443048200PE,25-04-2024 11:45,1,15,295.65,25-04-2024 12:00,0,15,311.75,-241.5,-5.45,78987.5,47.87,243987.5,-16.54
1664175,870,NSE_FO:BANKNIFTY2443048200CE,25-04-2024 10:45,1,15,371.15,25-04-2024 11:45,0,15,325.95,678,12.18,79229,48.02,244229,-16.46
1664173,870,NSE_FO:BANKNIFTY2443048100PE,25-04-2024 09:45,1,15,284.8,25-04-2024 10:45,0,15,246.15,579.75,13.57,78551,47.61,243551,-16.69
1664172,870,NSE_FO:BANKNIFTY2443048000CE,25-04-2024 09:30,1,15,367.9,25-04-2024 09:45,0,15,453.3,-1281,-23.21,77971.25,47.26,242971.25,-16.89
1663647,870,NSE_FO:BANKNIFTY24APR48200CE,24-04-2024 14:00,1,15,36.9,24-04-2024 15:10,0,15,13.75,347.25,62.74,79252.25,48.03,244252.25,-16.45
1663645,870,NSE_FO:BANKNIFTY24APR48200PE,24-04-2024 13:15,1,15,46.95,24-04-2024 14:00,0,15,33.3,204.75,29.07,78905,47.82,243905,-16.57
1663641,870,NSE_FO:BANKNIFTY24APR48200CE,24-04-2024 13:00,1,15,41.8,24-04-2024 13:15,0,15,47.4,-84,-13.4,78700.25,47.7,243700.25,-16.64
1663638,870,NSE_FO:BANKNIFTY24APR48200PE,24-04-2024 12:15,1,15,69.25,24-04-2024 13:00,0,15,61.55,115.5,11.12,78784.25,47.75,243784.25,-16.61
1663635,870,NSE_FO:BANKNIFTY24APR48200CE,24-04-2024 11:00,1,15,66.75,24-04-2024 12:15,0,15,45.95,312,31.16,78668.75,47.68,243668.75,-16.65
1663631,870,NSE_FO:BANKNIFTY24APR48200PE,24-04-2024 10:00,1,15,109.25,24-04-2024 11:00,0,15,74.85,516,31.49,78356.75,47.49,243356.75,-16.75
1663202,870,NSE_FO:BANKNIFTY24APR48000CE,23-04-2024 12:45,1,15,200,23-04-2024 13:30,0,15,139.47,907.95,30.27,77840.75,47.18,242840.75,-16.93
1663200,870,NSE_FO:BANKNIFTY24APR48000PE,23-04-2024 11:15,1,15,195.3,23-04-2024 12:45,0,15,152.3,645,22.02,76932.8,46.63,241932.8,-17.24
1663197,870,NSE_FO:BANKNIFTY24APR48000CE,23-04-2024 09:45,1,15,216,23-04-2024 11:15,0,15,186.2,447,13.8,76287.8,46.24,241287.8,-17.46
1662789,870,NSE_FO:BANKNIFTY24APR47900CE,22-04-2024 12:00,1,15,229.75,22-04-2024 12:30,0,15,203.72,390.45,11.33,75840.8,45.96,240840.8,-17.61
1662786,870,NSE_FO:BANKNIFTY24APR47800PE,22-04-2024 11:00,1,15,308.25,22-04-2024 12:00,0,15,238.6,1044.75,22.6,75450.35,45.73,240450.35,-17.75
1662782,870,NSE_FO:BANKNIFTY24APR47700CE,22-04-2024 09:45,1,15,334.8,22-04-2024 11:00,0,15,297.15,564.75,11.25,74405.6,45.09,239405.6,-18.11
1662295,870,NSE_FO:BANKNIFTY24APR47000CE,19-04-2024 12:15,1,15,440.55,19-04-2024 12:45,0,15,578.23,-2065.2,-31.25,73840.85,44.75,238840.85,-18.3
1662294,870,NSE_FO:BANKNIFTY24APR46900PE,19-04-2024 11:30,1,15,403.55,19-04-2024 12:15,0,15,388.4,227.25,3.75,75906.05,46,240906.05,-17.59
1662293,870,NSE_FO:BANKNIFTY24APR46900CE,19-04-2024 11:00,1,15,454,19-04-2024 11:30,0,15,464.8,-162,-2.38,75678.8,45.87,240678.8,-17.67
1661754,870,NSE_FO:BANKNIFTY24APR47700PE,18-04-2024 13:00,1,15,314.7,18-04-2024 13:30,0,15,454.83,-2101.95,-44.53,75840.8,45.96,240840.8,-17.61
1661750,870,NSE_FO:BANKNIFTY24APR47600CE,18-04-2024 12:15,1,15,403.2,18-04-2024 13:00,0,15,431.15,-419.25,-6.93,77942.75,47.24,242942.75,-16.9
1661749,870,NSE_FO:BANKNIFTY24APR47600PE,18-04-2024 11:00,1,15,318.3,18-04-2024 12:15,0,15,305.7,189,3.96,78362,47.49,243362,-16.75
1661746,870,NSE_FO:BANKNIFTY24APR47600CE,18-04-2024 09:45,1,15,413.1,18-04-2024 11:00,0,15,390.95,332.25,5.36,78173,47.38,243173,-16.82
1661128,870,NSE_FO:BANKNIFTY2441647500CE,16-04-2024 14:45,1,15,7.45,16-04-2024 15:10,0,15,3,66.75,59.73,77840.75,47.18,242840.75,-16.93
1661126,870,NSE_FO:BANKNIFTY2441647400PE,16-04-2024 12:45,1,15,49.95,16-04-2024 14:45,0,15,9.35,609,81.28,77774,47.14,242774,-16.95
1661125,870,NSE_FO:BANKNIFTY2441647500CE,16-04-2024 11:30,1,15,54.75,16-04-2024 12:45,0,15,29.3,381.75,46.48,77165,46.77,242165,-17.16
1661124,870,NSE_FO:BANKNIFTY2441647400PE,16-04-2024 09:45,1,15,97.05,16-04-2024 11:30,0,15,36.95,901.5,61.93,76783.25,46.54,241783.25,-17.29
1661123,870,NSE_FO:BANKNIFTY2441647400CE,16-04-2024 09:30,1,15,103.3,16-04-2024 09:45,0,15,106.4,-46.5,-3,75881.75,45.99,240881.75,-17.6
1660696,870,NSE_FO:BANKNIFTY2441648000CE,15-04-2024 11:30,1,15,268.1,15-04-2024 13:45,0,15,178.87,1338.45,33.28,75928.25,46.02,240928.25,-17.58
1660694,870,NSE_FO:BANKNIFTY2441648000PE,15-04-2024 10:00,1,15,193.25,15-04-2024 11:30,0,15,149.15,661.5,22.82,74589.8,45.21,239589.8,-18.04
1660283,870,NSE_FO:BANKNIFTY2441648600PE,12-04-2024 15:00,1,15,214.4,12-04-2024 15:10,0,15,214.4,0,0,73928.3,44.81,238928.3,-18.27
1660281,870,NSE_FO:BANKNIFTY2441648600CE,12-04-2024 14:45,1,15,281.95,12-04-2024 15:00,0,15,282.9,-14.25,-0.34,73928.3,44.81,238928.3,-18.27
1660278,870,NSE_FO:BANKNIFTY2441648600PE,12-04-2024 14:00,1,15,194.05,12-04-2024 14:45,0,15,208.25,-213,-7.32,73942.55,44.81,238942.55,-18.26
1660276,870,NSE_FO:BANKNIFTY2441648600CE,12-04-2024 13:45,1,15,288.4,12-04-2024 14:00,0,15,317.35,-434.25,-10.04,74155.55,44.94,239155.55,-18.19
1660274,870,NSE_FO:BANKNIFTY2441648600PE,12-04-2024 13:30,1,15,208.7,12-04-2024 13:45,0,15,222.8,-211.5,-6.76,74589.8,45.21,239589.8,-18.04
1660273,870,NSE_FO:BANKNIFTY2441648700CE,12-04-2024 12:30,1,15,261.25,12-04-2024 13:30,0,15,248.5,191.25,4.88,74801.3,45.33,239801.3,-17.97
1660270,870,NSE_FO:BANKNIFTY2441648700PE,12-04-2024 10:45,1,15,266,12-04-2024 12:30,0,15,241,375,9.4,74610.05,45.22,239610.05,-18.04
1659663,870,NSE_FO:BANKNIFTY2441049000PE,10-04-2024 15:00,1,15,32,10-04-2024 15:10,0,15,32,0,0,74235.05,44.99,239235.05,-18.16
1659660,870,NSE_FO:BANKNIFTY2441048900CE,10-04-2024 14:15,1,15,45.35,10-04-2024 15:00,0,15,102.55,-858,-126.13,74235.05,44.99,239235.05,-18.16
1659658,870,NSE_FO:BANKNIFTY2441048900PE,10-04-2024 13:15,1,15,44,10-04-2024 14:15,0,15,31.2,192,29.09,75093.05,45.51,240093.05,-17.87
1659655,870,NSE_FO:BANKNIFTY2441048800CE,10-04-2024 13:00,1,15,101.2,10-04-2024 13:15,0,15,133.25,-480.75,-31.67,74901.05,45.39,239901.05,-17.94
1659654,870,NSE_FO:BANKNIFTY2441048900PE,10-04-2024 12:30,1,15,67.85,10-04-2024 13:00,0,15,81.05,-198,-19.45,75381.8,45.69,240381.8,-17.77
1659652,870,NSE_FO:BANKNIFTY2441048900CE,10-04-2024 10:30,1,15,87.9,10-04-2024 12:30,0,15,61.2,400.5,30.38,75579.8,45.81,240579.8,-17.7
1659649,870,NSE_FO:BANKNIFTY2441048900PE,10-04-2024 10:00,1,15,122.9,10-04-2024 10:30,0,15,104.3,279,15.13,75179.3,45.56,240179.3,-17.84
1659644,870,NSE_FO:BANKNIFTY2441048800CE,10-04-2024 09:30,1,15,182.6,10-04-2024 10:00,0,15,177.1,82.5,3.01,74900.3,45.39,239900.3,-17.94
1659193,870,NSE_FO:BANKNIFTY2441048700PE,09-04-2024 14:30,1,15,153.2,09-04-2024 15:10,0,15,146,108,4.7,74817.8,45.34,239817.8,-17.96
1659191,870,NSE_FO:BANKNIFTY2441048900CE,09-04-2024 12:45,1,15,168.4,09-04-2024 14:30,0,15,89.7,1180.5,46.73,74709.8,45.28,239709.8,-18
1659188,870,NSE_FO:BANKNIFTY2441048900PE,09-04-2024 12:00,1,15,153.7,09-04-2024 12:45,0,15,178.8,-376.5,-16.33,73529.3,44.56,238529.3,-18.41
1659185,870,NSE_FO:BANKNIFTY2441048900CE,09-04-2024 11:00,1,15,192.2,09-04-2024 12:00,0,15,210.8,-279,-9.68,73905.8,44.79,238905.8,-18.28
1659179,870,NSE_FO:BANKNIFTY2441048700PE,09-04-2024 10:00,1,15,141.8,09-04-2024 11:00,0,15,109.45,485.25,22.81,74184.8,44.96,239184.8,-18.18
1658821,870,NSE_FO:BANKNIFTY2441048500CE,08-04-2024 13:30,1,15,249.5,08-04-2024 13:45,0,15,272.48,-344.7,-9.21,73699.55,44.67,238699.55,-18.35
1658820,870,NSE_FO:BANKNIFTY2441048700PE,08-04-2024 12:45,1,15,233.25,08-04-2024 13:30,0,15,318.95,-1285.5,-36.74,74044.25,44.88,239044.25,-18.23
1658818,870,NSE_FO:BANKNIFTY2441048600CE,08-04-2024 12:00,1,15,234.2,08-04-2024 12:45,0,15,298.75,-968.25,-27.56,75329.75,45.65,240329.75,-17.79
1658815,870,NSE_FO:BANKNIFTY2441048500PE,08-04-2024 10:45,1,15,229.7,08-04-2024 12:00,0,15,193.95,536.25,15.56,76298,46.24,241298,-17.46
1658812,870,NSE_FO:BANKNIFTY2441048500CE,08-04-2024 09:30,1,15,276.45,08-04-2024 10:45,0,15,272.3,62.25,1.5,75761.75,45.92,240761.75,-17.64
1658453,870,NSE_FO:BANKNIFTY2441048400PE,05-04-2024 15:00,1,15,260.7,05-04-2024 15:10,0,15,300.93,-603.45,-15.43,75699.5,45.88,240699.5,-17.66
1658450,870,NSE_FO:BANKNIFTY2441048300CE,05-04-2024 14:30,1,15,299.4,05-04-2024 15:00,0,15,406.95,-1613.25,-35.92,76302.95,46.24,241302.95,-17.46
1658447,870,NSE_FO:BANKNIFTY2441048200PE,05-04-2024 13:30,1,15,286.55,05-04-2024 14:30,0,15,239,713.25,16.59,77916.2,47.22,242916.2,-16.9
1658444,870,NSE_FO:BANKNIFTY2441048200CE,05-04-2024 12:45,1,15,308.25,05-04-2024 13:30,0,15,313.9,-84.75,-1.83,77202.95,46.79,242202.95,-17.15
1658440,870,NSE_FO:BANKNIFTY2441048300PE,05-04-2024 12:15,1,15,347.6,05-04-2024 12:45,0,15,356.3,-130.5,-2.5,77287.7,46.84,242287.7,-17.12
1658436,870,NSE_FO:BANKNIFTY2441048200CE,05-04-2024 11:30,1,15,297.2,05-04-2024 12:15,0,15,324.5,-409.5,-9.19,77418.2,46.92,242418.2,-17.07
1658431,870,NSE_FO:BANKNIFTY2441048100PE,05-04-2024 10:30,1,15,319.55,05-04-2024 11:30,0,15,275.8,656.25,13.69,77827.7,47.17,242827.7,-16.93
1658429,870,NSE_FO:BANKNIFTY2441048100CE,05-04-2024 10:15,1,15,289,05-04-2024 10:30,0,15,324.2,-528,-12.18,77171.45,46.77,242171.45,-17.16
1657936,870,NSE_FO:BANKNIFTY2441048100PE,04-04-2024 14:45,1,15,348.2,04-04-2024 15:10,0,15,387.3,-586.5,-11.23,77699.45,47.09,242699.45,-16.98
1657933,870,NSE_FO:BANKNIFTY2441048100CE,04-04-2024 13:45,1,15,291.4,04-04-2024 14:45,0,15,300.6,-138,-3.16,78285.95,47.45,243285.95,-16.78
1657931,870,NSE_FO:BANKNIFTY2441048000PE,04-04-2024 12:45,1,15,315,04-04-2024 13:45,0,15,301,210,4.44,78423.95,47.53,243423.95,-16.73
1657930,870,NSE_FO:BANKNIFTY2441047800CE,04-04-2024 12:00,1,15,365.85,04-04-2024 12:45,0,15,455.65,-1347,-24.55,78213.95,47.4,243213.95,-16.8
1657928,870,NSE_FO:BANKNIFTY2441047800PE,04-04-2024 11:00,1,15,302.5,04-04-2024 12:00,0,15,293.45,135.75,2.99,79560.95,48.22,244560.95,-16.34
1657927,870,NSE_FO:BANKNIFTY2441047900CE,04-04-2024 09:45,1,15,350.95,04-04-2024 11:00,0,15,317.85,496.5,9.43,79425.2,48.14,244425.2,-16.39
1657407,870,NSE_FO:BANKNIFTY2440347500CE,03-04-2024 11:15,1,15,63.8,03-04-2024 12:15,0,15,137.38,-1103.7,-115.33,78928.7,47.84,243928.7,-16.56
1657405,870,NSE_FO:BANKNIFTY2440347500PE,03-04-2024 10:15,1,15,118.7,03-04-2024 11:15,0,15,86.35,485.25,27.25,80032.4,48.5,245032.4,-16.18
1657403,870,NSE_FO:BANKNIFTY2440347300CE,03-04-2024 09:30,1,15,106.25,03-04-2024 10:15,0,15,198.35,-1381.5,-86.68,79547.15,48.21,244547.15,-16.35
1656958,870,NSE_FO:BANKNIFTY2440347600PE,02-04-2024 14:30,1,15,160.65,02-04-2024 15:10,0,15,153.6,105.75,4.39,80928.65,49.05,245928.65,-15.87
1656957,870,NSE_FO:BANKNIFTY2440347600CE,02-04-2024 13:30,1,15,197.85,02-04-2024 14:30,0,15,145.75,781.5,26.33,80822.9,48.98,245822.9,-15.91
1656954,870,NSE_FO:BANKNIFTY2440347700PE,02-04-2024 12:45,1,15,155,02-04-2024 13:30,0,15,173.6,-279,-12,80041.4,48.51,245041.4,-16.18
1656952,870,NSE_FO:BANKNIFTY2440347600CE,02-04-2024 12:00,1,15,232.3,02-04-2024 12:45,0,15,244.8,-187.5,-5.38,80320.4,48.68,245320.4,-16.08
1656951,870,NSE_FO:BANKNIFTY2440347600PE,02-04-2024 11:45,1,15,124.8,02-04-2024 12:00,0,15,125,-3,-0.16,80507.9,48.79,245507.9,-16.02
1656949,870,NSE_FO:BANKNIFTY2440347600CE,02-04-2024 10:30,1,15,214.45,02-04-2024 11:45,0,15,234.4,-299.25,-9.3,80510.9,48.79,245510.9,-16.02
1656947,870,NSE_FO:BANKNIFTY2440347600PE,02-04-2024 10:00,1,15,190.2,02-04-2024 10:30,0,15,162.5,415.5,14.56,80810.15,48.98,245810.15,-15.91
1656943,870,NSE_FO:BANKNIFTY2440347500CE,02-04-2024 09:30,1,15,225.5,02-04-2024 10:00,0,15,253.85,-425.25,-12.57,80394.65,48.72,245394.65,-16.06
1656591,870,NSE_FO:BANKNIFTY2440347600PE,01-04-2024 15:00,1,15,228.2,01-04-2024 15:10,0,15,228.2,0,0,80819.9,48.98,245819.9,-15.91
1656589,870,NSE_FO:BANKNIFTY2440347500CE,01-04-2024 14:30,1,15,279,01-04-2024 15:00,0,15,287.8,-132,-3.15,80819.9,48.98,245819.9,-15.91
1656586,870,NSE_FO:BANKNIFTY2440347500PE,01-04-2024 13:30,1,15,193.35,01-04-2024 14:30,0,15,192.2,17.25,0.59,80951.9,49.06,245951.9,-15.87
1656584,870,NSE_FO:BANKNIFTY2440347600CE,01-04-2024 12:30,1,15,245.5,01-04-2024 13:30,0,15,231.7,207,5.62,80934.65,49.05,245934.65,-15.87
1656583,870,NSE_FO:BANKNIFTY2440347600PE,01-04-2024 11:30,1,15,244.5,01-04-2024 12:30,0,15,235.95,128.25,3.5,80727.65,48.93,245727.65,-15.94
1656579,870,NSE_FO:BANKNIFTY2440347600CE,01-04-2024 10:30,1,15,269.7,01-04-2024 11:30,0,15,250.35,290.25,7.17,80599.4,48.85,245599.4,-15.99
1656574,870,NSE_FO:BANKNIFTY2440347600PE,01-04-2024 09:30,1,15,292.35,01-04-2024 10:30,0,15,247.4,674.25,15.38,80309.15,48.67,245309.15,-16.09
1655543,870,NSE_FO:BANKNIFTY27MAR2446700PE,27-03-2024 15:00,1,15,7.15,27-03-2024 15:10,0,15,7.15,0,0,79634.9,48.26,244634.9,-16.32
1655541,870,NSE_FO:BANKNIFTY27MAR2446800CE,27-03-2024 13:45,1,15,36.7,27-03-2024 15:00,0,15,6.1,459,83.38,79634.9,48.26,244634.9,-16.32
