id,strategy,instrument_str,entry_timestamp,entry_transaction_type,entry_quantity,entry_price,exit_timestamp,exit_transaction_type,exit_quantity,exit_price,pnl_absolute,pnl_percentage,pnl_cumulative_absolute,pnl_cumulative_percentage,equity_curve,drawdown_percentage
1672781,511,NSE_FO:BANKNIFTY2452247800CE,2024-05-17 09:30:00,1,15,382.50,2024-05-17 10:30:00,0,15,515.83,-1999.95,-34.86,579746.85,369.27,736746.85,-0.27
1672165,511,NSE_FO:BANKNIFTY2452247500PE,2024-05-16 11:30:00,1,15,400.80,2024-05-16 15:15:00,0,15,217.60,2748.00,45.71,581746.80,370.54,738746.80,0.00
1672160,511,NSE_FO:BANKNIFTY2452247800CE,2024-05-16 09:45:00,1,15,410.75,2024-05-16 11:30:00,0,15,269.80,2114.25,34.32,578998.80,368.79,735998.80,0.00
1671487,511,NSE_FO:BANKNIFTY2451547700PE,2024-05-15 10:45:00,1,15,120.30,2024-05-15 15:15:00,0,15,78.70,624.00,34.58,576884.55,367.44,733884.55,-0.15
1671485,511,NSE_FO:BANKNIFTY2451547800CE,2024-05-15 10:00:00,1,15,116.15,2024-05-15 10:45:00,0,15,61.40,821.25,47.14,576260.55,367.04,733260.55,-0.23
1670947,511,NSE_FO:BANKNIFTY2451547800CE,2024-05-14 13:15:00,1,15,243.20,2024-05-14 15:15:00,0,15,227.75,231.75,6.35,575439.30,366.52,732439.30,-0.34
1670376,511,NSE_FO:BANKNIFTY2451547500CE,2024-05-13 13:00:00,1,15,286.00,2024-05-13 15:15:00,0,15,469.00,-2745.00,-63.99,575207.55,366.37,732207.55,-0.37
1670372,511,NSE_FO:BANKNIFTY2451547100PE,2024-05-13 10:15:00,1,15,282.30,2024-05-13 13:00:00,0,15,133.70,2229.00,52.64,577952.55,368.12,734952.55,0.00
1669775,511,NSE_FO:BANKNIFTY2451547400PE,2024-05-10 13:15:00,1,15,344.25,2024-05-10 15:15:00,0,15,337.95,94.50,1.83,575723.55,366.70,732723.55,-0.08
1669772,511,NSE_FO:BANKNIFTY2451547700CE,2024-05-10 10:30:00,1,15,424.60,2024-05-10 13:15:00,0,15,248.00,2649.00,41.59,575629.05,366.64,732629.05,-0.09
1669767,511,NSE_FO:BANKNIFTY2451547600PE,2024-05-10 09:30:00,1,15,340.10,2024-05-10 10:30:00,0,15,294.20,688.50,13.50,572980.05,364.96,729980.05,-0.45
1669189,511,NSE_FO:BANKNIFTY2451547900PE,2024-05-09 11:00:00,1,15,423.50,2024-05-09 14:45:00,0,15,619.58,-2941.20,-46.30,572291.55,364.52,729291.55,-0.55
1669187,511,NSE_FO:BANKNIFTY2451548000CE,2024-05-09 10:00:00,1,15,437.85,2024-05-09 11:00:00,0,15,353.10,1271.25,19.36,575232.75,366.39,732232.75,-0.14
1669183,511,NSE_FO:BANKNIFTY2451548100PE,2024-05-09 09:45:00,1,15,411.40,2024-05-09 10:00:00,0,15,433.40,-330.00,-5.35,573961.50,365.58,730961.50,-0.32
1668514,511,NSE_FO:BANKNIFTY2450848200PE,2024-05-08 09:45:00,1,15,179.95,2024-05-08 10:30:00,0,15,313.28,-1999.95,-74.09,574291.50,365.79,731291.50,-0.27
1667892,511,NSE_FO:BANKNIFTY2450848900CE,2024-05-07 09:45:00,1,15,286.80,2024-05-07 15:15:00,0,15,48.70,3571.50,83.02,576291.45,367.06,733291.45,0.00
1667340,511,NSE_FO:BANKNIFTY2450849100CE,2024-05-06 09:45:00,1,15,402.00,2024-05-06 15:15:00,0,15,225.70,2644.50,43.86,572719.95,364.79,729719.95,-0.33
1666755,511,NSE_FO:BANKNIFTY2450849500CE,2024-05-03 09:45:00,1,15,380.85,2024-05-03 15:15:00,0,15,176.80,3060.75,53.58,570075.45,363.11,727075.45,-0.69
