id,strategy,instrument_str,entry_timestamp,entry_transaction_type,entry_quantity,entry_price,exit_timestamp,exit_transaction_type,exit_quantity,exit_price,pnl_absolute,pnl_percentage,pnl_cumulative_absolute,pnl_cumulative_percentage,equity_curve,drawdown_percentage
1672814,1059,NSE_FO:BANKNIFTY2452247900PE,2024-05-17 09:20:00,1,15,350.40,2024-05-17 15:10:00,0,15,244.95,1581.75,30.09,242907.25,121.45,442907.25,-12.90
1672812,1059,NSE_FO:BANKNIFTY2452247900CE,2024-05-17 09:20:00,1,15,342.90,2024-05-17 15:10:00,0,15,361.00,-271.50,-5.28,241325.50,120.66,441325.50,-13.21
1672196,1059,NSE_FO:BANKNIFTY2452247900PE,2024-05-16 09:20:00,1,15,370.65,2024-05-16 15:10:00,0,15,333.60,555.75,10.00,241597.00,120.80,441597.00,-13.16
1672193,1059,NSE_FO:BANKNIFTY2452247900CE,2024-05-16 09:20:00,1,15,391.20,2024-05-16 15:10:00,0,15,377.20,210.00,3.58,241041.25,120.52,441041.25,-13.26
1671537,1059,NSE_FO:BANKNIFTY2451547900PE,2024-05-15 09:20:00,1,15,175.40,2024-05-15 15:10:00,0,15,221.55,-692.25,-26.31,240831.25,120.42,440831.25,-13.31
1671536,1059,NSE_FO:BANKNIFTY2451547900CE,2024-05-15 09:20:00,1,15,140.00,2024-05-15 15:10:00,0,15,0.25,2096.25,99.82,241523.50,120.76,441523.50,-13.17
1670979,1059,NSE_FO:BANKNIFTY2451547900PE,2024-05-14 09:20:00,1,15,256.80,2024-05-14 15:10:00,0,15,195.80,915.00,23.75,239427.25,119.71,439427.25,-13.58
1670978,1059,NSE_FO:BANKNIFTY2451547900CE,2024-05-14 09:20:00,1,15,269.85,2024-05-14 15:10:00,0,15,175.90,1409.25,34.82,238512.25,119.26,438512.25,-13.76
1670406,1059,NSE_FO:BANKNIFTY2451547400PE,2024-05-13 09:20:00,1,15,331.45,2024-05-13 15:10:00,0,15,133.85,2964.00,59.62,237103.00,118.55,437103.00,-14.04
1670405,1059,NSE_FO:BANKNIFTY2451547400CE,2024-05-13 09:20:00,1,15,332.05,2024-05-13 15:10:00,0,15,487.20,-2327.25,-46.72,234139.00,117.07,434139.00,-14.62
1669861,1059,NSE_FO:BANKNIFTY2451547400PE,2024-05-10 09:20:00,1,15,375.30,2024-05-10 15:10:00,0,15,316.20,886.50,15.75,236466.25,118.23,436466.25,-14.16
1669762,1059,NSE_FO:BANKNIFTY2451547400CE,2024-05-10 09:20:00,1,15,440.40,2024-05-10 15:10:00,0,15,361.45,1184.25,17.93,235579.75,117.79,435579.75,-14.34
1669221,1059,NSE_FO:BANKNIFTY2451548200PE,2024-05-09 09:20:00,1,15,422.40,2024-05-09 15:10:00,0,15,822.05,-5994.75,-94.61,234395.50,117.20,434395.50,-14.57
1669216,1059,NSE_FO:BANKNIFTY2451548200CE,2024-05-09 09:20:00,1,15,411.50,2024-05-09 15:10:00,0,15,154.35,3857.25,62.49,240390.25,120.20,440390.25,-13.39
1668552,1059,NSE_FO:BANKNIFTY2450848200PE,2024-05-08 09:20:00,1,15,191.70,2024-05-08 15:10:00,0,15,200.15,-126.75,-4.41,236533.00,118.27,436533.00,-14.15
1668550,1059,NSE_FO:BANKNIFTY2450848200CE,2024-05-08 09:20:00,1,15,178.25,2024-05-08 15:10:00,0,15,0.25,2670.00,99.86,236659.75,118.33,436659.75,-14.13
1667923,1059,NSE_FO:BANKNIFTY2450848900PE,2024-05-07 09:20:00,1,15,237.35,2024-05-07 15:10:00,0,15,705.00,-7014.75,-197.03,233989.75,116.99,433989.75,-14.65
1667921,1059,NSE_FO:BANKNIFTY2450848900CE,2024-05-07 09:20:00,1,15,304.90,2024-05-07 15:10:00,0,15,36.90,4020.00,87.90,241004.50,120.50,441004.50,-13.27
1667390,1059,NSE_FO:BANKNIFTY2450849000PE,2024-05-06 09:20:00,1,15,319.20,2024-05-06 15:10:00,0,15,272.20,705.00,14.72,236984.50,118.49,436984.50,-14.06
1667385,1059,NSE_FO:BANKNIFTY2450849000CE,2024-05-06 09:20:00,1,15,361.15,2024-05-06 15:10:00,0,15,282.25,1183.50,21.85,236279.50,118.14,436279.50,-14.20
1666790,1059,NSE_FO:BANKNIFTY2450849500PE,2024-05-03 09:20:00,1,15,331.70,2024-05-03 15:10:00,0,15,637.95,-4593.75,-92.33,235096.00,117.55,435096.00,-14.43
1666787,1059,NSE_FO:BANKNIFTY2450849500CE,2024-05-03 09:20:00,1,15,377.90,2024-05-03 15:10:00,0,15,156.10,3327.00,58.69,239689.75,119.84,439689.75,-13.53
1666329,1059,NSE_FO:BANKNIFTY2450849500PE,2024-05-02 09:20:00,1,15,422.10,2024-05-02 15:10:00,0,15,453.25,-467.25,-7.38,236362.75,118.18,436362.75,-14.18
1666328,1059,NSE_FO:BANKNIFTY2450849500CE,2024-05-02 09:20:00,1,15,401.85,2024-05-02 15:10:00,0,15,306.60,1428.75,23.70,236830.00,118.42,436830.00,-14.09
1665593,1059,NSE_FO:BANKNIFTY2443049400PE,2024-04-30 09:20:00,1,15,127.45,2024-04-30 15:10:00,0,15,7.40,1800.75,94.19,235401.25,117.70,435401.25,-14.37
1665591,1059,NSE_FO:BANKNIFTY2443049400CE,2024-04-30 09:20:00,1,15,182.20,2024-04-30 15:10:00,0,15,52.65,1943.25,71.10,233600.50,116.80,433600.50,-14.73
1665120,1059,NSE_FO:BANKNIFTY2443048400PE,2024-04-29 09:20:00,1,15,190.95,2024-04-29 15:10:00,0,15,28.40,2438.25,85.13,231657.25,115.83,431657.25,-15.11
1665116,1059,NSE_FO:BANKNIFTY2443048400CE,2024-04-29 09:20:00,1,15,276.85,2024-04-29 15:10:00,0,15,1120.60,-12656.25,-304.77,229219.00,114.61,429219.00,-15.59
1664722,1059,NSE_FO:BANKNIFTY2443048500PE,2024-04-26 09:20:00,1,15,290.60,2024-04-26 15:10:00,0,15,475.70,-2776.50,-63.70,241875.25,120.94,441875.25,-13.10
1664719,1059,NSE_FO:BANKNIFTY2443048500CE,2024-04-26 09:20:00,1,15,309.85,2024-04-26 15:10:00,0,15,160.35,2242.50,48.25,244651.75,122.33,444651.75,-12.55
1664196,1059,NSE_FO:BANKNIFTY2443047900PE,2024-04-25 09:20:00,1,15,263.00,2024-04-25 15:10:00,0,15,133.65,1940.25,49.18,242409.25,121.20,442409.25,-13.00
1664195,1059,NSE_FO:BANKNIFTY2443047900CE,2024-04-25 09:20:00,1,15,400.00,2024-04-25 15:10:00,0,15,760.15,-5402.25,-90.04,240469.00,120.23,440469.00,-13.38
1663688,1059,NSE_FO:BANKNIFTY24APR48100PE,2024-04-24 09:20:00,1,15,142.30,2024-04-24 15:10:00,0,15,0.40,2128.50,99.72,245871.25,122.94,445871.25,-12.31
1663686,1059,NSE_FO:BANKNIFTY24APR48100CE,2024-04-24 09:20:00,1,15,92.80,2024-04-24 15:10:00,0,15,97.40,-69.00,-4.96,243742.75,121.87,443742.75,-12.73
1663209,1059,NSE_FO:BANKNIFTY24APR48100PE,2024-04-23 09:20:00,1,15,206.10,2024-04-23 15:10:00,0,15,216.00,-148.50,-4.80,243811.75,121.91,443811.75,-12.72
1663208,1059,NSE_FO:BANKNIFTY24APR48100CE,2024-04-23 09:20:00,1,15,181.60,2024-04-23 15:10:00,0,15,112.40,1038.00,38.11,243960.25,121.98,443960.25,-12.69
1662811,1059,NSE_FO:BANKNIFTY24APR47800PE,2024-04-22 09:20:00,1,15,314.00,2024-04-22 15:10:00,0,15,171.35,2139.75,45.43,242922.25,121.46,442922.25,-12.89
1662810,1059,NSE_FO:BANKNIFTY24APR47800CE,2024-04-22 09:20:00,1,15,357.00,2024-04-22 15:10:00,0,15,330.30,400.50,7.48,240782.50,120.39,440782.50,-13.32
1662343,1059,NSE_FO:BANKNIFTY24APR46700PE,2024-04-19 09:20:00,1,15,413.50,2024-04-19 15:10:00,0,15,165.55,3719.25,59.96,240382.00,120.19,440382.00,-13.39
